Date,ACN,ADBE,AMZN,AAPL,CSCO,FB,GOOG,IBM,INTC,MSFT,NFLX,ORCL,CRM,QCOM,XOM,T,KR,BAC,GE,LMT,HPQ,JPM,PG,UPS,RTX,DELL,WFC,DIS,AXP
1/3/2005,26.37,30.85,44.52,1.13,19.32,#N/A,101.35,97.75,23.07,26.74,1.7,13.41,4.15,42.32,50.09,25.59,8.57,46.46,36.59,54.21,9.56,39.15,55.19,85,32.41,#N/A,30.96,27.85,48.94
1/4/2005,25.75,30.03,42.14,1.14,18.56,#N/A,97.25,96.7,22.61,26.84,1.67,13.06,4.09,42.13,49.75,25.32,8.35,45.82,36.15,53.29,9.49,38.41,54.5,83.92,32.03,#N/A,30.98,27.55,48.21
1/5/2005,25.65,29.87,41.77,1.15,18.57,#N/A,96.75,96.5,22.39,26.78,1.6,13.1,4.49,42.31,49.49,25.44,8.28,45.29,35.93,54.63,9.53,38.49,55.07,83.75,31.8,#N/A,31.02,27.4,47.65
1/6/2005,25.42,29.37,41.05,1.15,18.85,#N/A,94.27,96.2,22.46,26.75,1.58,13.22,4.43,43,50.12,25.15,8.21,45.22,36.22,54.51,9.52,38.71,55.34,83.66,31.81,#N/A,31.13,27.44,47.41
1/7/2005,26.61,29.39,42.32,1.24,18.72,#N/A,96.92,95.78,22.8,26.67,1.59,13.33,4.39,43.22,49.79,25.08,8.32,44.73,36,54.77,9.46,38.4,55.92,83.5,31.47,#N/A,31.09,27.17,47.06
1/10/2005,26.96,29.41,41.84,1.23,18.72,#N/A,97.53,95.68,22.88,26.8,1.61,13.19,4.25,43.15,49.98,24.9,8.43,45.29,35.91,55,9.45,38.27,56.36,83.62,31.38,#N/A,31.07,27.28,47.16
1/11/2005,26.5,29.06,41.64,1.15,18.64,#N/A,96.77,95,22.54,26.73,1.57,13.2,4.11,43.24,49.85,24.65,8.32,45.18,35.4,55.1,9.1,37.9,56.3,83.3,31.52,#N/A,31.01,27.21,46.72
1/12/2005,26.39,29.49,42.3,1.17,18.93,#N/A,97.69,95.21,23.16,26.78,1.54,13.48,3.78,43.12,50.59,24.81,8.34,45.06,35.68,55.8,9.1,37.99,56.51,77.18,32.08,#N/A,30.59,27.72,46.61
1/13/2005,26.18,29.11,42.6,1.25,18.78,#N/A,97.66,94.45,22.82,26.27,1.55,13.48,3.81,42.1,50.55,24.43,8.28,44.5,35.23,55.35,9.06,37.77,55.53,76.1,31.65,#N/A,30.32,27.75,46.29
1/14/2005,26.29,29.12,44.55,1.25,18.88,#N/A,99.98,94.1,23.02,26.12,1.62,13.63,3.75,42.21,51.07,24.41,8.39,44.89,35.52,56,9.11,37.81,55.88,75.95,31.76,#N/A,30.35,28.3,46.15
1/17/2005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/18/2005,26.1,29.19,44.58,1.26,18.74,#N/A,101.95,94.9,22.94,26.32,1.61,13.78,3.76,42.62,51.5,24.88,8.5,45.73,35.96,56.53,9.28,38.4,55.99,75.3,32.16,#N/A,30.73,28.74,46.52
1/19/2005,26,28.94,43.96,1.25,18.15,#N/A,98.65,93.1,22.6,25.98,1.58,13.47,3.75,41.07,51.05,24.79,8.51,44.97,35.44,55.89,9.21,37.84,56.68,75.57,31.8,#N/A,30.5,28.5,46.45
1/20/2005,25.67,29.04,42.36,1.26,18.32,#N/A,96.96,93,22.58,25.86,1.58,13.28,3.65,37.78,50.72,24.47,8.48,45.31,35.37,55,9.09,37.25,56.7,75.22,31.4,#N/A,30.27,28.52,45.87
1/21/2005,25.16,28.54,41.16,1.26,18.01,#N/A,94.14,92.38,22.42,25.65,1.58,13.31,3.61,37.8,50.44,24.58,8.4,45.09,35.13,54.75,9.08,36.85,55.65,74.99,31.49,#N/A,30.06,28.15,45.46
1/24/2005,24.9,27.7,40.38,1.26,17.75,#N/A,90.36,91.79,21.99,25.67,1.59,13.24,3.48,36.54,51.13,24.54,8.5,45.22,35.26,54.47,9.03,36.88,55.21,75.4,31.15,#N/A,29.98,27.95,46.04
1/25/2005,25.2,27.79,40.94,1.29,17.51,#N/A,88.56,92.19,22.26,26.02,1.62,13.59,3.43,36.66,51.33,24.45,8.49,45.59,35.7,54.26,8.93,36.86,55.73,76.09,31.33,#N/A,30.17,28.8,46.78
1/26/2005,25.4,28.01,41.34,1.29,17.69,#N/A,94.62,91.95,22.42,26.01,1.58,13.62,3.45,36.9,51.7,24.58,8.53,45.77,35.49,55.23,8.89,36.83,55.44,75.5,31.72,#N/A,30.44,28.58,46.48
1/27/2005,25.68,28.09,42.31,1.3,18.18,#N/A,94.04,91.98,22.31,26.11,1.6,13.97,3.41,36.14,51.75,23.67,8.65,45.53,35.61,56.4,8.85,36.75,55.32,74.01,32.15,#N/A,30.22,28.3,46.2
1/28/2005,25.6,27.74,42.22,1.32,17.9,#N/A,95.17,92.89,22.24,26.18,1.63,13.68,3.37,36.35,51.27,23.62,8.62,45.7,35.75,56.38,8.78,37,54.15,74.1,32.09,#N/A,30.26,28.23,46.22
1/31/2005,26.05,28.45,43.22,1.37,18.04,#N/A,97.81,93.42,22.45,26.28,1.64,13.77,3.43,37.24,51.6,23.76,8.55,46.37,36.13,57.81,8.89,37.33,53.23,74.68,31.68,#N/A,30.65,28.63,46.7
2/1/2005,25.99,28.95,42.48,1.38,18.13,#N/A,95.95,93.86,22.63,26.39,1.64,13.65,3.43,36.83,53.27,23.92,8.58,46.68,36.28,58.72,9,37.5,52.87,75.23,31.47,#N/A,30.9,28.8,49.68
2/2/2005,25.83,31.15,41.88,1.42,18.15,#N/A,102.98,94.3,22.58,26.46,1.6,13.56,3.33,36.39,53.93,24.39,8.59,46.73,36.25,58.88,8.88,37.52,53.4,75.2,31.35,#N/A,30.39,28.83,48.82
2/3/2005,25.48,31.71,35.75,1.39,17.52,#N/A,105.43,93.54,22.38,26.18,1.7,13.34,3.34,36.11,54.52,24.62,8.59,46.4,36.07,58.32,9.03,37.39,53.24,74.82,31.62,#N/A,30.53,28.8,48.5
2/4/2005,25.73,32,35.72,1.41,17.9,#N/A,102.18,94.51,23,26.32,1.72,13.66,3.52,36.95,55.29,24.6,8.6,46.89,36.25,57.65,9.28,37.69,52.62,74.1,32.01,#N/A,30.49,29.31,48.86
2/7/2005,25.77,31.76,35.69,1.41,18.16,#N/A,98.01,94.53,22.91,26.16,1.65,13.55,3.41,35.98,55.4,24.47,8.56,46.64,36.23,58.14,9.25,37.97,52.53,74.14,31.52,#N/A,30.71,29.88,48.63
2/8/2005,25.85,31.85,36.3,1.44,18.24,#N/A,99.32,94.13,23.41,26.24,1.64,13.47,3.5,36.24,55.78,24.61,8.72,46.89,36.43,58.7,9.14,37.76,51.98,74.08,31.78,#N/A,30.72,29.84,48.21
2/9/2005,25.51,31.3,35.89,1.41,17.63,#N/A,95.79,92.7,23.3,26.07,1.64,13.17,3.32,35.69,55.54,24.38,8.63,46.44,36.09,58.45,9.77,37.5,51.51,73.8,31.62,#N/A,30.46,29.35,47.94
2/10/2005,25.42,31.34,35.78,1.4,17.58,#N/A,93.99,92.76,23.5,26.06,1.62,13.14,3.27,35.31,56.34,24.1,8.65,46.93,36.05,59.7,9.75,37.45,51.62,74.51,32.3,#N/A,30.22,29.35,48.24
2/11/2005,25.2,31.85,35.78,1.45,17.7,#N/A,93.7,93.3,24.17,25.97,1.59,13.35,3.36,36.16,56.11,24.26,8.64,46.82,36.23,59.69,9.67,37.48,52.15,75.2,31.91,#N/A,30.15,29.34,48.31
2/14/2005,24.64,31.74,36.03,1.51,17.97,#N/A,96.49,93.57,24.31,26.01,1.59,13.31,3.41,37.17,56.83,24.37,8.73,46.93,36.32,59.37,9.43,37.5,52.7,75,31.87,#N/A,30.66,29.39,47.79
2/15/2005,24.9,32.46,36.14,1.58,17.92,#N/A,97.61,94.33,24.47,25.93,1.61,13.29,3.57,36.88,56.92,24.52,8.95,47.06,36.39,59.96,9.59,37.55,53.48,77.02,32.34,#N/A,30.65,29.58,47.71
